Entity Registration Date,Entity Profile UEN,Entity Name,Primary Section Description
2020-04-02,202010638Z,SMART MORTGAGE SG PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-02,202010643W,PRINCETON DIGITAL GROUP (INDIA ALPHA) PTE. LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010656D,XING HE CAPITAL INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010671N,KRUK PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010683H,PERKINELMER HOLDINGS SINGAPORE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010703C,BLUE AND WHITE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010705D,JAGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010708R,UHP INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010714E,NORTH WAVE INTERNATIONAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010718H,MR GROUP HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010721E,PHILLIP STREET PARTNERS (PTE. LTD.),FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010729M,GOLDEN HILL CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010733Z,S M GROUP HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010733Z,STRATEGIC MARINE HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010744D,FKSM INVESTMENT HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010745N,VIH CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010748G,AC ENERGY AUSTRALIA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010749W,THANGSUP PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010753E,FENGMEI SINGAPORE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010758Z,APOLLO CAPITAL MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010761R,INTERFINITE MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010765Z,DEBTPEDIA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-03,202010770W,KERUBIN CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-04,202010775M,MIDAS ASSURANCE AND ADVISORY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-04,202010776D,BAPPY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-05,202010802E,LCX PJ7 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-05,202010804G,YIDA INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-05,202010810R,CA INVESTMENTS HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-05,202010812W,PERFECT COORDINATIONS HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-05,202010814Z,MAISONMAYA HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010817M,INANOMO HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010819N,NORTHERN POINT TECHNOLOGY PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010826N,KIM SOON LEE INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010829G,AARTEE PHARMA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010830C,GFG HEALTHCARE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010832D,SHINE STAR CORPORATION PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010839Z,TAEL IMPACT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010841E,VERTEX EXPLORATORY FUND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010845H,KARIM CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010850G,ORMAND CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010862C,ES GROUP ENTERPRISE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010865N,SILVER SPUR PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010866E,CONQUERER VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010872N,GL TECHNOLOGY HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010875G,CO-LIVING PARENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010893K,QRIOUS SPACE INTERNATIONAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010904C,LIAN BENG LEASING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010906D,SINGAREVIVAL HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010907N,A&A INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010914N,1V CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010929C,AMICITIA CAPITAL HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010930R,BONE DOCTOR (BONE-DR) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-06,202010931G,J.A.B SERVICES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202010953N,CONVEXITYSG PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202010957W,GREEN GIRAFFE ASIA PACIFIC PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202010958H,RECO MAHOGANY PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202010970G,LC SAILORS PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202010971W,LOGOS KOREA HOLDCO PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202010980Z,JK ASSET MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202010981K,LOGOS KOREA PROJECT COMPANY 1 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202010989W,EQUITY CAPITAL SOLUTIONS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202011007Z,PATA HOLDINGS (PRIVATE) LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202011021Z,LION-OCBC CAPITAL ASIA IIA HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202011021Z,LION-OCBC CAPITAL ASIA III HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202011026N,LCLV HOLDCO VII PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202011027E,ALTON PARK CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202011030C,COOK-INC PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-07,202011034E,NATION CARE ADVISORY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-08,202011047K,H2MO PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-08,202011051W,LUNARIA ANNUA CAPITAL II PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-08,202011065N,CATAHOULA RE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-08,202011079K,HAPI FAM PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-08,202011081R,PRU WISE MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-08,202011084H,CROWN LOTUS MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-08,202011094C,CDL CROWN REIT MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-08,202011108E,VALUETRAIL INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-08,202011120D,DIGITAL ASSET MANAGEMENT 2 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-08,202011122E,DREAMTREE SINGAPORE A PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011132W,OAKWISE CAPITAL MANAGEMENT (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011135K,TANGYUE INTERNATIONAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011140H,BAYANAT ENGINEERING PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011153N,SIENECT HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011154E,INSPACETIME PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011161E,IGNITE HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011165H,PARADYNE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011168C,FOUR ACES FAMILY OFFICE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011173Z,FIVV2 INITIATIVES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011189W,UKHTA CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011199K,PARKWAY PARADE PARTNERSHIP PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011201D,KENJI LING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011207H,LENDLEASE PP RETAIL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011210E,LENDLEASE PP OFFICE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011211R,FUNDTIER HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011212G,TDG GLOBAL VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011227N,SARVATRA INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-09,202011231C,HONGDAO CAPITAL INTERNATIONAL (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-10,202011236R,HAPPYFAMILY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-10,202011243R,NSI SINGAPURA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-10,202011246H,CORIMA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-10,202011262K,PLATINUM 7 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-11,202011267E,INTUITIV PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-13,202011316E,BANJARAN HOLDINGS (S) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-13,202011334H,AL QEBLA AL WATYA HOLDINGS (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-13,202011344C,G&Y CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-13,202011351C,LIGHTNET (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-13,202011370R,GENERAL ATLANTIC SINGAPORE JD PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-13,202011370R,GENERAL ATLANTIC SINGAPORE SPV 38 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-13,202011372W,BRIGHT DIMENSION PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-13,202011372W,GENERAL ATLANTIC SINGAPORE SPV 39 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-13,202011373H,GENERAL ATLANTIC SINGAPORE SPV 40 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-13,202011375K,KOSEN PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-13,202011379N,BERELLIAN PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-13,202011380H,EPICURE CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-13,202011381Z,CARDASSIAN PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-14,202011392D,VERDUROUS INVESTMENT & TRADING (S) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-14,202011394E,KORN FERRY SG91 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-14,202011401M,ALLIUM RE ASIA (PS) HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-14,202011402D,EAST SHINERAY HOLDINGS (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-14,202011407W,AFFINITY ASSETS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-14,202011408H,BORAGE ASIA HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-14,202011421W,PEAK GRAND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-14,202011425C,C.E.S.A.M.E.S. HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-14,202011433M,THEOS CYBER HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-14,202011451R,INN INTERIOR INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-14,202011457C,PP INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011475E,NEW VISTA INVESTMENT (HOLDINGS) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011480D,SINGAPORE CITY CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011481N,SINGAPORE HUAGUANG INTERNATIONAL INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011482E,POWER INDUSTRIAL INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011484G,ROSEWOOD INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011487Z,RINDO FUND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011492W,ECHOSG PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011495K,VESELI HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011497M,RINDO ASSET MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011501G,LIYANG ASSETS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011509N,ULYSSES PRIME PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011511Z,NEXTPOWER III SINGAPORE TOPCO PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011514M,NEXTPOWER III SINGAPORE HOLDCO PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011523N,HANS SINGAPORE INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011541W,EXCELSIOR CAPITAL SOLUTIONS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011546M,GREEN CLIMATE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-15,202011550Z,ESR SG MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011566W,FIRST REGAL GLOBAL VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011570E,EAG ASSET MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011582Z,SINGAPORE GUIZE INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011584C,PROMETHEUS (S) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011596R,PARAMOUNT HEALTHCARE GROUP PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011600K,SINENERGY POWER INTERNATIONAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011607G,CLEANERGY ASIA POWER HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011611N,MORTGAGE ACCESS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011620R,HAFNIUM PARTNERS (PTE.) LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011624Z,HAFNIUM CAPITAL (PTE.) LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011629N,HAFNIUM TERA BARRIER (PTE.) LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011638R,KOTA HERITAGE HOTEL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011640C,FLCL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011641M,CAPSULE GENESIS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011644E,MAONENG ENERGY HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011649Z,BREP ASIA HOLDINGS (NQ) III - COMET PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-16,202011653G,ZHONGMIN GUOHONG CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011660G,GREAT HARVEST VIETNAM PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011667D,SHIRTLIFF VENTURE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011684R,ORIGIN CAPITAL MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011693W,ROCKTREE INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011694H,NOUVEAU MONDE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011705Z,ICY MATTERS (SINGAPORE) COMPANY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011719R,GTG SEIKO SINGAPORE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011729H,ACESO INVESTMENT HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011732E,GOLDEN PRATA (GP) INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011741G,GOLDWRIGHT INVESTMENT HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011742W,WAY FUSION HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011743H,GENERATION X INNOVATION PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011749N,REGEN CAPITAL PARTNERS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011752K,MUTON SINGAPORE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-17,202011758R,CDL SHANGHAI HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-20,202011819K,MARINA ISLAND BY-M. PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-20,202011824H,VAUGHAN ASSETS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-20,202011834C,RELIANCE INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-20,202011834C,SUAVE INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-20,202011844N,CROSS STREET HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-20,202011846R,TBMCO HOLDING SINGAPORE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-20,202011855W,CHIE INVESTMENT HOLDINGS PTE. LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-20,202011858K,4Z VENTURES PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-20,202011862W,SHRINE INVESTMENT HOLDINGS PTE. LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-20,202011864Z,SHRINE PTE. LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-20,202011873C,CHIE PTE. LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-20,202011878R,KEELAND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-20,202011882D,G GLOBAL INVESTMENT FUND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-21,202011891E,JX & JY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-21,202011895H,TURTLEROCK PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-21,202011898C,DIGIBANKASIA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-21,202011902R,AMOI GREEN COOL INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-21,202011914K,EAGLE FUND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-21,202011924D,FINTECH CAPITAL GLOBAL HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-21,202011927R,SINGAPORE HYNERTECH ENERGY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-21,202011930M,GLOBAL ASIA MARITIME PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-21,202011944H,CLC INVESTMENT ELEVEN PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-21,202011951H,XFERS HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-21,202011982W,XIN YAO GOLDEN SANDS ASSET MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-21,202011985K,BRIGHT INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202011995D,RISEN SGP PV1 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202011996N,RISEN SGP PV2 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012008G,MAYFAIR TRUST LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012019K,JUNGLE LEADERS I PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012019K,JV GIP SPV 1 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012024H,GREENWICH INVESTMENT HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012033K,COUTAWONG INVESTMENTS PTE. LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012037N,YDL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012044N,ND DAYLIGHT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012045E,SOLEIL FM PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012047G,ECOPOWERINVEST PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012050D,HAINSWORTH HOLDINGS PTE. LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012058K,MONK'S HILL VENTURES OPPORTUNITIES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012061G,MTHREE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012061G,THREEM PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012066C,PINNACLE ACE INVESTMENT HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012067M,REPULSE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012068D,ENHANCE RENEWABLE ENERGY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012074M,GENTREE FUND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012075D,DZ&CD PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012076N,SILVER FIR HLDGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012078R,SILVER FIR MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-22,202012079G,TAM SON INVESTMENT (S) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-23,202012084E,RIPPLE MARKETS APAC PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-23,202012088H,POSH INVESTMENT HOLDINGS (MALAYSIA) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-23,202012091E,PULAU UJONG HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-23,202012092R,RISEN SGP PV3 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-23,202012093G,RISEN SGP PV4 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-23,202012095H,AMOS CONTROLS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-23,202012105H,BGN CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-23,202012112H,DINING CONCEPT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-23,202012114K,UPPER HAND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-23,202012131D,ROSETTA.AI HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-23,202012140E,AAX ASIA PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-23,202012147C,BORVO HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
2020-04-24,202012175W,PINNACLE PEAK INVESTMENT HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES
