Entity Registration Date,Entity Profile UEN,Entity Name,Primary Section Description,Description,Website,Industry
2020-01-07,202000998C,ARGYLE FUND INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-07,202001000E,RECO AUGUSTINE PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-01-07,202001004H,NG AND PARTNERS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"ESTATE PLANNING ADVISORY","","OTHER ACTIVITIES AUXILIARY TO FINANCIAL SERVICE ACTIVITIES N.E.C. (EG MORTGAGE ADVISORY FIRMS)"
2020-01-07,202001005Z,TIVON INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENTS,MANUFACTURING,TRADE AND MARKETING","","OTHER HOLDING COMPANIES"
2020-01-07,202001017N,TNB AURA FUND 2 LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-07,202001017N,TNB AURA FUND 2 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-07,202001021C,VNTC HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-07,202001024N,DMC SUNRISE INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENTS,MANUFACTURING,TRADE AND MARKETING","","OTHER HOLDING COMPANIES"
2020-01-07,202001028W,XXKG HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT","","WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT"
2020-01-07,202001032E,LIANBA POWER PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-08,202001064E,IYI HOLDINGS COMPANY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-08,202001072R,SENSORY NINE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-08,202001079M,BIOMAX GOLD PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-01-08,202001081W,TODERA HOLDINGS PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-08,202001082H,MEDICAL INTELLECTUAL HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENTS,MANUFACTURING,TRADE AND MARKETING","","OTHER HOLDING COMPANIES"
2020-01-08,202001084K,HAN'S INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-08,202001090Z,BERKELEY CAPITAL SOLUTIONS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-01-08,202001092C,GAYLEN INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"WHOLESALE TRADING OF TEXTILE RELATED GOODS","","WHOLESALE OF TEXTILES AND LEATHERS"
2020-01-08,202001105N,MEDISOLVS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENTS,MANUFACTURING,TRADE AND MARKETING","","OTHER HOLDING COMPANIES"
2020-01-08,202001127C,YEW ACCOUNTING & IT CONSULTANCY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"CORPORATE FINANCE ADVISORY AND ACCOUNTING SERVICES","","CORPORATE FINANCE ADVISORY SERVICES"
2020-01-08,202001134C,BULL INTERNATIONAL HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-08,202001142M,TRINETRA HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-08,202001167M,HUIZHOU LNG TERMINAL INVESTMENTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-08,202001169N,FARO I PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-08,202001170H,ECOIN REMITTANCE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"REMITTANCE SERVICES","","REMITTANCE SERVICES"
2020-01-08,202001183N,GRANDIR CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MANAGEMENT CONSULTANCY SERVICES (GENERAL)","","MANAGEMENT CONSULTANCY SERVICES (GENERAL)"
2020-01-08,202001185R,VERISK ASIA PACIFIC HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDINGS COMPANY WITH PROVISION OF CONSULTANCY SERVICES","","OTHER HOLDING COMPANIES"
2020-01-08,202001194W,BRAWN VIETNAM PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-08,202001203G,TRIDENT INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INSTITUTIONAL AND CORPORATE INVESTMENT","","TRUSTS, FUNDS AND SIMILAR FINANCIAL ENTITIES (EG COLLECTIVE PORTFOLIO INVESTMENT FUNDS (EXCLUDING THOSE WITH RENTAL INCOME))"
2020-01-08,202001206Z,NORDIC KOLEKTIVE CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-08,202001211W,POWER CAPITAL MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-08,202001234R,MC FIN CONSULTANTS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"PROVIDING FINANCE ADVISORY SERVICES INCLUDING CASH FLOW MANAGEMENT","","CORPORATE FINANCE ADVISORY SERVICES"
2020-01-09,202001300H,NEPTUNEX INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-01-09,202001327K,FU DE INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-09,202001328C,TOI INTERNATIONAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-09,202001351D,APIS GROWTH II (HIBISCUS) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-09,202001352N,SAGEL HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-09,202001353E,FT BIZ PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT IN PROPERTIES","","OTHER HOLDING COMPANIES"
2020-01-09,202001357H,SALMON GLOBAL INVESTMENT HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-09,202001366K,AKLALI VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-09,202001367C,SINCLAIR HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-09,202001371H,NEW DIMENSIONS CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER FINANCIAL SERVICE ACTIVITIES, EXCEPT INSURANCE AND PENSION FUNDING ACTIVITIES N.E.C.","","OTHER FINANCIAL SERVICE ACTIVITIES, EXCEPT INSURANCE AND PENSION FUNDING ACTIVITIES N.E.C."
2020-01-09,202001379R,BRIGHT FUTURE WORLD PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001420H,CARBONX VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"COVID19 RELATED PERSONAL PROTECTION EQUIPMENT","","WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT"
2020-01-10,202001427E,FBT GOLD REFINERY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"HOLDING ENTITY FOR GOLD REFINERY IN ZAMBIA","","OTHER HOLDING COMPANIES"
2020-01-10,202001433N,AP SG 23 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001434E,NARROW SEA REALTY PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001436G,AP SG 25 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001438H,NARROW SEA PROPERTY PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001440N,CLEANTECH SOLAR SEA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","https://cleantechsolar.com","OTHER HOLDING COMPANIES"
2020-01-10,202001443G,OASE CAPITAL INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001445H,GENESIS MIRACLE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001446Z,POLAR PAY (SG) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MONEY CHANGER WHOLESALE","","MONEY-CHANGING SERVICES"
2020-01-10,202001450G,NARROW SEA HOLDING PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001455C,TRANSTECH GREEN POWER (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001462C,HUARUN INTERNATIONAL FUEL (S) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"SECURITY DEALINGS AND COMMODITY CONTRACTS BROKERAGE ACTIVITIES N.E.C.","","SECURITY DEALINGS AND COMMODITY CONTRACTS BROKERAGE ACTIVITIES N.E.C."
2020-01-10,202001467R,RADANITES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTOR ADVISORY SERVICES","","CORPORATE FINANCE ADVISORY SERVICES"
2020-01-10,202001475G,CHESTNUT CAPITAL MANAGEMENT PARTNERS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001476W,HIM&KAYS HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MANAGEMENT CONSULTANCY SERVICES (GENERAL)","","MANAGEMENT CONSULTANCY SERVICES (GENERAL)"
2020-01-10,202001481R,GREENFIELD INFRASTRUCTURE PARTNERS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"DEVELOPMENT AND HOLDINGS IN INFRASTRUCTURE PROJECTS AND COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001486K,SGMTC PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001489D,EMERGING CAPITAL PARTNERS (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT IN INDUSTRIES SUCH AS MINING, OIL, GAS, INFRASTRUCTURE & TRANSPORT","","OTHER HOLDING COMPANIES"
2020-01-10,202001491H,PS ENERGY GROUP PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001493K,DRIVEMOBILITY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT","","WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT"
2020-01-10,202001497N,SINGAPORE ASIA TRUST COMPANY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TRUSTEE, FIDUCIARY AND CUSTODY SERVICES FIRMS (INCLUDING NOMINEE COMPANIES, TRUSTEES AND REIT TRUSTEES) ","","TRUSTEE, FIDUCIARY AND CUSTODY SERVICES FIRMS (INCLUDING NOMINEE COMPANIES, TRUSTEES AND REIT TRUSTEES) "
2020-01-10,202001500W,BRM AGRO (SINGAPORE) PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001505M,TECK WEI VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER ACTIVITIES AUXILIARY TO FINANCIAL SERVICE ACTIVITIES N.E.C.","","OTHER ACTIVITIES AUXILIARY TO FINANCIAL SERVICE ACTIVITIES N.E.C. (EG MORTGAGE ADVISORY FIRMS)"
2020-01-10,202001508E,LONGSKY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001514N,GREEN TECHNOLOGY AND POWER CELLS HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001515E,AEROTEC YACHT INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"FINANCIAL LEASING COMPANIES","","FINANCIAL LEASING COMPANIES"
2020-01-10,202001517G,NOTTING PARTNERS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001519H,SEBRINA FUND MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"FUND MANAGEMENT ACTIVITIES N.E.C.","","FUND MANAGEMENT ACTIVITIES N.E.C."
2020-01-10,202001545D,PIONEERING SPIRIT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-10,202001564W,F&F FINTECH PTE. LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER FINANCIAL SERVICE ACTIVITIES, EXCEPT INSURANCE AND PENSION FUNDING ACTIVITIES N.E.C.","https://www.foodandfinance.asia/","OTHER FINANCIAL SERVICE ACTIVITIES, EXCEPT INSURANCE AND PENSION FUNDING ACTIVITIES N.E.C."
2020-01-10,202001566Z,LTHL SG PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-11,202001582C,LARGE VALLEY CLOUD PTE. LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-11,202001592N,HAPPY FISH SWIM SCHOOL HOLDING PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-13,202001630K,RED CRYSTAL CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT","","WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT"
2020-01-13,202001633D,MDMMD INDUSTRIAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-13,202001638W,TWINS ADVISORY PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"INSURANCE AGENCIES AND AGENTS (INCLUDING FINANCIAL PLANNING SERVICES)","","INSURANCE AGENCIES AND AGENTS (INCLUDING FINANCIAL PLANNING SERVICES)"
2020-01-13,202001640D,SUNDY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-01-13,202001649C,CALDERA PACIFIC MASTER FUND I PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TRUSTS, FUNDS AND SIMILAR FINANCIAL ENTITIES (EG COLLECTIVE PORTFOLIO INVESTMENT FUNDS (EXCLUDING THOSE WITH RENTAL INCOME))","","TRUSTS, FUNDS AND SIMILAR FINANCIAL ENTITIES (EG COLLECTIVE PORTFOLIO INVESTMENT FUNDS (EXCLUDING THOSE WITH RENTAL INCOME))"
2020-01-13,202001662K,GLORIS G HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDINGS","","OTHER HOLDING COMPANIES"
2020-01-13,202001675R,FANDO RE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"CONSULTANCY AND ADVISORY SERVICES","","MANAGEMENT CONSULTANCY SERVICES N.E.C."
2020-01-13,202001678H,JA EDUCATION THAILAND PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-13,202001680N,JA LEARNING HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-13,202001682R,INDUS BUSINESS VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-13,202001687K,JUMBO RICH PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-01-13,202001697D,WYNDHAM DESTINATIONS OVERSEAS (SINGAPORE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TREASURY CENTRES","","TREASURY CENTRES"
2020-01-13,202001702H,VINHHY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-13,202001710Z,GOLDEN INVESTMENTS (AUSTRALIA) II PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-13,202001716E,STARWISE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"CORPORATE FINANCE ADVISORY SERVICES","","CORPORATE FINANCE ADVISORY SERVICES"
2020-01-13,202001717R,ELIBA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MANAGEMENT CONSULTANCY SERVICES N.E.C.","","MANAGEMENT CONSULTANCY SERVICES N.E.C."
2020-01-13,202001732G,LCLV4 PORTFOLIO PTE. LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"TO HOLD LOGISITICS REAL ESTATE PROJECTS IN CHINA","","OTHER HOLDING COMPANIES"
2020-01-13,202001733W,VISTA GRANDE INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING","","OTHER HOLDING COMPANIES"
2020-01-13,202001738M,SONA INSURANCE AGENCIES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INSURANCE AGENCIES AND AGENTS (INCLUDING FINANCIAL PLANNING SERVICES)","http://www.sona.sg/","INSURANCE AGENCIES AND AGENTS (INCLUDING FINANCIAL PLANNING SERVICES)"
2020-01-13,202001741H,ZACD (TRIBE) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TRUSTS, FUNDS AND SIMILAR FINANCIAL ENTITIES (EG COLLECTIVE PORTFOLIO INVESTMENT FUNDS (EXCLUDING THOSE WITH RENTAL INCOME))","","TRUSTS, FUNDS AND SIMILAR FINANCIAL ENTITIES (EG COLLECTIVE PORTFOLIO INVESTMENT FUNDS (EXCLUDING THOSE WITH RENTAL INCOME))"
2020-01-13,202001746D,CEDRUS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INSURANCE AGENTS & BROKERS (LIFE/GENERAL)","","INSURANCE AGENCIES AND AGENTS (INCLUDING FINANCIAL PLANNING SERVICES)"
2020-01-13,202001748E,JAPAN BIOTECH CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-13,202001758W,PRE 11 PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-13,202001769C,EDEN VENTURES PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-13,202001770R,NEXT GEN INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-13,202001781Z,INFOCHAINS FOUNDATION PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"TRUSTS, FUNDS AND SIMILAR FINANCIAL ENTITIES (EG COLLECTIVE PORTFOLIO INVESTMENT FUNDS (EXCLUDING THOSE WITH RENTAL INCOME))","","TRUSTS, FUNDS AND SIMILAR FINANCIAL ENTITIES (EG COLLECTIVE PORTFOLIO INVESTMENT FUNDS (EXCLUDING THOSE WITH RENTAL INCOME))"
2020-01-14,202001785D,YAN YU TANG PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"IMPORT INTO AND EXPORT OUT OF SINGAPORE","","WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT"
2020-01-14,202001786N,YSJ705 EXCHANGE PRIVATE LIMITED,FINANCIAL AND INSURANCE ACTIVITIES,"MONEY-CHANGING SERVICES","","MONEY-CHANGING SERVICES"
2020-01-14,202001788R,FB CAPITAL (S) INVESTMENTS (PRIVATE LIMITED),FINANCIAL AND INSURANCE ACTIVITIES,"F&B INVESTMENTS","","OTHER HOLDING COMPANIES"
2020-01-14,202001789G,COFFEE CUPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001789G,COFFEE CUPTIAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001806G,BB ENERGY RENEWABLE DIVISION (RED) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT/HOLDING IN INFRASTRUCTURE PROJECTS & COMPANIES IN RENEWABLE SPACE","","OTHER HOLDING COMPANIES"
2020-01-14,202001816Z,KIFA EQUIPMENT (S) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"IMPORT, EXPORT AND CREDIT INSURANCE","","IMPORT, EXPORT AND CREDIT INSURANCE"
2020-01-14,202001820G,PPFA JAPAN VI PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001821W,UNI POWER INVESTMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001823Z,TRUTH ASSETS MANAGEMENT (S) PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"HEDGE FUND MANAGEMENT","","HEDGE FUND MANAGEMENT"
2020-01-14,202001826M,GCF CAPITAL PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MANAGEMENT CONSULTANCY SERVICES (GENERAL)","","MANAGEMENT CONSULTANCY SERVICES (GENERAL)"
2020-01-14,202001827D,UNI POWER FUNDING MANAGEMENT PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"SINGLE/MULTIPLE FAMILY OFFICES ACTIVITIES (E.G. MANAGING INVESTMENTS AND TRUSTS FOR A SINGLE OR MULTIPLE FAMILIES)","","SINGLE/MULTIPLE FAMILY OFFICES ACTIVITIES (E.G. MANAGING INVESTMENTS AND TRUSTS FOR A SINGLE OR MULTIPLE FAMILIES)"
2020-01-14,202001849K,LDOM PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"INVESTMENT HOLDING COMPANY","","OTHER HOLDING COMPANIES"
2020-01-14,202001861H,BYJU'S PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001862Z,AAM VC PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001865M,TOMBADOR IRON SINGAPORE PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MANAGEMENT CONSULTANCY SERVICES (GENERAL)","","MANAGEMENT CONSULTANCY SERVICES (GENERAL)"
2020-01-14,202001869R,SERENDIPITY CAPITAL FUND MANAGEMENT COMPANY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"FUND MANAGEMENT ACTIVITIES N.E.C.","","FUND MANAGEMENT ACTIVITIES N.E.C."
2020-01-14,202001870K,VALEN PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"MANAGEMENT CONSULTANCY SERVICES (GENERAL)","","MANAGEMENT CONSULTANCY SERVICES (GENERAL)"
2020-01-14,202001872M,SERVA PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"OTHER HOLDING COMPANIES","","OTHER HOLDING COMPANIES"
2020-01-14,202001879H,SINGAPORE QUANJI TECHNOLOGY PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"DEVELOP APPLICATION AND PUBLISH APPLICATION","http://www.quanji.com.sg/","PUBLISHING OF OTHER SOFTWARE/APPLICATIONS (NON-GAMES)"
2020-01-14,202001886H,RETIRELIFE ASIA HOLDINGS PTE. LTD.,FINANCIAL AND INSURANCE ACTIVITIES,"HOLDING COMPANY FOR RETIREMENT HOMES","","OTHER HOLDING COMPANIES"
